id,date,year,mon_day,subdomain,spot,spot_id,event,desc,link,more_text,note,note1,note2,note3
1,[dd/mm/yyyy],2022,[MM DD],arlington,ARLINGTON-1,1,flooding,[description],,,,,,
2,[dd/mm/yyyy],2024,[MM DD],arlington,ARLINGTON-2,2,trees,[description],,,,,,
3,[dd/mm/yyyy],2026,[MM DD],arlington,ARLINGTON-3,3,white roofs,[description],,,,,,
4,[dd/mm/yyyy],2028,[MM DD],arlington,ARLINGTON-4,4,ACE opt up,[description],,,,,,
5,[dd/mm/yyyy],2030,[MM DD],arlington,ARLINGTON-5,5,Thorndike,[description],,,,,,
6,[dd/mm/yyyy],2032,[MM DD],arlington,ARLINGTON-6,6,hard freeze,[description],,,,,,
7,[dd/mm/yyyy],2034,[MM DD],arlington,ARLINGTON-7,7,air shelter,[description],,,,,,
8,[dd/mm/yyyy],2036,[MM DD],arlington,ARLINGTON-8,8,native plants,[description],,,,,,
9,[dd/mm/yyyy],2038,[MM DD],arlington,ARLINGTON-9,9,wet lands,[description],,,,,,
10,[dd/mm/yyyy],2040,[MM DD],arlington,ARLINGTON-10,10,bikeway,[description],,,,,,
11,[dd/mm/yyyy],2042,[MM DD],arlington,ARLINGTON-11,11,electric bus,[description],,,,,,
12,[dd/mm/yyyy],2044,[MM DD],arlington,ARLINGTON-12,12,free bus,[description],,,,,,
13,[dd/mm/yyyy],2046,[MM DD],arlington,ARLINGTON-13,13,heat,[description],,,,,,
14,[dd/mm/yyyy],2048,[MM DD],arlington,ARLINGTON-14,14,zero waste,[description],,,,,,
15,[dd/mm/yyyy],2050,[MM DD],arlington,ARLINGTON-15,15,ACE now use,[description],,,,,,
16,[dd/mm/yyyy],2052,[MM DD],arlington,ARLINGTON-16,16,net zero,[description],,,,,,
17,[dd/mm/yyyy],2054,[MM DD],arlington,ARLINGTON-17,17,beetle,[description],,,,,,
18,[dd/mm/yyyy],2056,[MM DD],arlington,ARLINGTON-18,18,mural,[description],,,,,,
19,[dd/mm/yyyy],2058,[MM DD],arlington,ARLINGTON-19,19,support space,[description],,,,,,
20,[dd/mm/yyyy],2060,[MM DD],arlington,ARLINGTON-20,20,curriculum,[description],,,,,,
21,[dd/mm/yyyy],2062,[MM DD],arlington,ARLINGTON-21,21,pumping station,[description],,,,,,
22,[dd/mm/yyyy],2064,[MM DD],arlington,ARLINGTON-22,22,compost,[description],,,,,,
23,[dd/mm/yyyy],2066,[MM DD],arlington,ARLINGTON-23,23,knotweed,[description],,,,,,
