id,subdomain,date,year,mon_day,event,spot,spot_id,desc,link,more_text,note,note1,note2,note3
1,salem,,2022,[mmdd],green roof,SALEM-1,1,[desc],,,,,,
2,salem,,2024,[mmdd],downtown path,SALEM-2,2,[desc],,,,,,
3,salem,,2026,[mmdd],Peabody path,SALEM-3,3,[desc],,,,,,
4,salem,,2028,[mmdd],First EV charging,SALEM-4,4,[desc],,,,,,
5,salem,,2030,[mmdd],More EV charging,SALEM-5,5,[desc],,,,,,
6,salem,,2032,[mmdd],wind farm,SALEM-6,6,[desc],,,,,,
7,salem,,2034,[mmdd],trees,SALEM-7,7,[desc],,,,,,
8,salem,,2036,[mmdd],cooling shelter,SALEM-8,8,[desc],,,,,,
9,salem,,2038,[mmdd],garden relocated,SALEM-9,9,[desc],,,,,,
10,salem,,2040,[mmdd],streetlights,SALEM-10,10,[desc],,,,,,
11,salem,,2042,[mmdd],floodgate,SALEM-SSU1,SSU1,[desc],,,,,,
12,salem,,2044,[mmdd],green roof,SALEM-SSU2,SSU2,[desc],,,,,,
13,salem,,2046,[mmdd],climate refugees,SALEM-SSU3,SSU3,[desc],,,,,,
14,salem,,2048,[mmdd],cooling shelter,SALEM-SSU4,SSU4,[desc],,,,,,
15,salem,,2050,[mmdd],geothermal,SALEM-SSU5,SSU5,[desc],,,,,,
16,salem,,2052,[mmdd],mosquitoes,SALEM-SSU6,SSU6,[desc],,,,,,
17,salem,,2054,[mmdd],solar,SALEM-SSU7,SSU7,[desc],,,,,,
18,salem,,2056,[mmdd],Derby Street,SALEM-NPS1,NPS1,[desc],,,,,,
19,salem,,2058,[mmdd],Derby House,SALEM-NPS2,NPS2,[desc],,,,,,
20,salem,,2060,[mmdd],Derby Wharf,SALEM-NPS3,NPS3,[desc],,,,,,
