id,date,year,mon_day,subdomain,spot,spot_id,event,desc,link,more_text,note,note1,note2,note3
1,,2016,8-Feb,,TRUSTEES-5,5,ACCESS CURTAILED,This section of causeway and underlying culvert blown out by storm surge.,,"Increasing volumes of water from sea level rise and storm surge regularly flooded the culvert under a section of road, until the crossing was overwhelmed and washed away in 2016. As a result of this continued flooding, the Cedar Point trail was deemed unsafe, and closed to foot traffic. The area began to convert back to salt marsh, as the ecosystem had more room to migrate without the barrier of the road.","1) State of the Coast: Marsh Migration map using Sea Level Rise Affecting Marshes Model. https://www.onthecoast.thetrustees.org/maps-2
2) Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. 7, 19-20, 22  https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse",State of the Coast: Marsh Migration map using Sea Level Rise Affecting Marshes Model. https://www.onthecoast.thetrustees.org/maps-2,"Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. 7, 19-20, 22  https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse",
2,,2016,25-May,,TRUSTEES-1,1,FLOOD RESILIENT,"Bathhouse, first Trustees building constructed to withstand flooding, opened.",,"Completed in 2016, the bathhouse was designed to be above predicted tide and flood levels. However, it was anticipated that much of the beach parking lot and area around the bath house and education center would periodically flood. Thus, this building was constructed at elevation so that any floodwaters could pass around or under without damaging the building’s primary infrastructure.","1) Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. 40. https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse
2) How Does the Climate Crisis Affect New England. https://www.climaterealityproject.org/blog/how-does-climate-crisis-affect-new-england ","Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. 40. https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse",How Does the Climate Crisis Affect New England. https://www.climaterealityproject.org/blog/how-does-climate-crisis-affect-new-englan,
3,,2024,Dec,,TRUSTEES-2,2,ACCESS EXTENDED,Argilla Road culvert enlarged to accommodate increased tidal flow from sea level rise.,,"The only way for vehicles to pass in and out of Crane Beach, Argilla Road, increasingly experienced flooding to the extent that access was blocked for well over an hour at a time. This occurred not only during storms, but also during certain high tides, a phenomenon which increased substantially in the early 21st century until it became a regular tidal occurrence. Raising the road surface provided an opportunity to benefit the health of the marsh by improving tidewater flow that runs under it through a culvert. The installation of a larger culvert enabled more tidewater to reach the upper marsh, reducing the amount of invasive Phragmites and expanding habitat of the endangered salt marsh sparrow. ","1) The Argilla Road Project. Trustees of Reservations. https://www.onthecoast.thetrustees.org/argilla-road-project 
2) The Need for Tidal Marsh Conservation. https://www.tidalmarshbirds.org/?page_id=1908",The Argilla Road Project. Trustees of Reservations. https://www.onthecoast.thetrustees.org/argilla-road-project,The Need for Tidal Marsh Conservation. https://www.tidalmarshbirds.org/?page_id=1908,
4,,2030,May,,TRUSTEES-12,12,BY BOAT ONLY,Land bridge at this spot completely flooded.,,"Due to sea level rise, the land bridge once accessible to pedestrians during low tide is now consistently flooded and no longer available for use. Access to Crowninshield Island (also known as Brown’s Island) is limited to boats only. ","1) State of the Coast: Projected Flooding. Trustees of Reservations.  https://www.onthecoast.thetrustees.org/maps
2) Community Resilience Building Workshops, p. 6, 17. Town of Marblehead. https://www.mass.gov/doc/2017-2018-mvp-planning-grant-report-marblehead/download",State of the Coast: Projected Flooding. Trustees of Reservations.  https://www.onthecoast.thetrustees.org/maps,"Community Resilience Building Workshops, p. 6, 17. Town of Marblehead. https://www.mass.gov/doc/2017-2018-mvp-planning-grant-report-marblehead/download",
5,,2031,Jul,,TRUSTEES-8,8,ROAD DROWNS,Road to boat dock inaccessible twice daily due to tidal flooding.,,"Due to sea level rise and increased frequency of inundation, access roads were closed multiple times daily as tides grew higher. With tidal flooding becoming more common, modes of transportation and routes of travel adjusted accordingly as the climate overtook how and when humans traveled. ","1) State of the Coast: Projected Flooding. Trustees of Reservations.  https://www.onthecoast.thetrustees.org/maps
2) Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. ES19-20 https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse",State of the Coast: Projected Flooding. Trustees of Reservations.  https://www.onthecoast.thetrustees.org/maps,"Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. ES19-20 https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse",
6,,2048,Jan,,TRUSTEES-6,6,HISTORY OUT OF REACH,Regular flooding of this causeway significantly limits access to historic Choate Island.,,"Most of the Crane Wildlife Refuge is now underwater. Indeed, because it is highly undeveloped, the Great Marsh is one of few areas in Massachusetts where high marsh has any ability to migrate inland. As a result of the increased inundation, stewardship activities on Choate Island declined. Visitor access to the island and its historic Choate House, became extremely limited.  ","1) State of the Coast: Marsh Migration map using Sea Level Rise Affecting Marshes Model. https://www.onthecoast.thetrustees.org/maps-2
2) Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. 19 https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse",State of the Coast: Marsh Migration map using Sea Level Rise Affecting Marshes Model. https://www.onthecoast.thetrustees.org/maps-2,"Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. 19 https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse",
7,,2052,May,,TRUSTEES-11,11,ISTHMUS TO ISLAND,"Causeway no longer available at low tide, island accessed by boat only.",,"The land bridge leading to Gerry Island is now under water all the time, though several decades ago people could easily walk across a land bridge to get there at low tide. Access on foot is no longer possible. Sea level rise cut off access to Gerry Island as the only footpath to and from the island is perpetually underwater. Visitors may swim or paddle over, but public access has been reduced.","1) State of the Coast: Projected Flooding. Trustees of Reservations. https://www.onthecoast.thetrustees.org/maps
2) Town of Marblehead Community Resilience Building Workshops, p. 6, 17 https://www.mass.gov/doc/2017-2018-mvp-planning-grant-report-marblehead/download",State of the Coast: Projected Flooding. Trustees of Reservations. https://www.onthecoast.thetrustees.org/maps,"Town of Marblehead Community Resilience Building Workshops, p. 6, 17 https://www.mass.gov/doc/2017-2018-mvp-planning-grant-report-marblehead/download",
8,,2053,Apr,,TRUSTEES-9,9,BIRD BOON,"This marsh, popular for viewing thriving saltmarsh sparrow populations, healed by restoration.",,"The resiliency of The Great Marsh became vulnerable to sea level rise, flooding, and erosion, events intensified by climate change. As a part of the Great Marsh Restoration Project, the Trustees implemented the nature-based restoration method “ditch remediation” on substantial acreage in several area towns. Piloted by the USFWS at the Parker River Wildlife Refuge, this innovative restoration technique successfully restored the natural flooding and draining of the marsh after centuries of alterations from agriculture and mosquito control, allowing the marsh to build peat naturally, and keep pace with SLR. This work strengthened the resiliency of the salt marsh and the many ecosystem services it provides including opportunity for wildlife observation.","1) Protecting Saltmarsh Sparrows. Trustees of Reservations. https://thetrustees.org/coast-sustainability/protecting-saltmarsh-sparrows/ 
2) The Great Marsh Restoration Project. https://www.onthecoast.thetrustees.org/great-salt-marsh-restoration
3) The Great Marsh: Its Beauty & Peril. Salem State University. https://youtu.be/zYOkDI_5aaM",Protecting Saltmarsh Sparrows. Trustees of Reservations. https://thetrustees.org/coast-sustainability/protecting-saltmarsh-sparrows/,The Great Marsh Restoration Project. https://www.onthecoast.thetrustees.org/great-salt-marsh-restoration,The Great Marsh: Its Beauty & Peril. Salem State University. https://youtu.be/zYOkDI_5aaM
9,,2057,May,,TRUSTEES-10,10,TIDES TAKE OVER,Access to Eagle Island is limited to just a few hours a day due to twice daily flooding.,,"Though once accessible by land at all times aside from high tide, Eagle Island has become cut off from land access twice daily at high tide. In a 10-year storm most of the island is inundated by floodwater. ","1) Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. ES22-23 https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse
2) State of the Coast: Projected Flooding. Trustees of Reservations.  https://www.onthecoast.thetrustees.org/maps","Climate Vulnerability Assessment Coastal Properties. Trustees of Reservations, p. ES22-23 https://issuu.com/thetrustees/docs/trustees_climate_vulnerability_asse",State of the Coast: Projected Flooding. Trustees of Reservations.  https://www.onthecoast.thetrustees.org/maps,
10,,2059,Feb,,TRUSTEES-7,7,INVASION MIGRATION,"Phragmites, an invasive plant once dominating this area, migrates inland due to saltwater flooding.",,"Phragmites, the common reed, often moves in and takes over areas that have been disturbed, such as roadside edges, drainage ditches, dikes, undersized culverts, and areas with high nutrient loads. It is often indicative of habitat that is out of balance because the Phragmites outcompetes native plants for space. Along the salt marsh, Phragmites invades the edges where it has access to freshwater seepage, which allows it to grow and outcompete native salt marsh plants. While Phragmites can tolerate some salinity, it cannot withstand frequent saltwater inundation. Restoring tidal flow where it is restricted is a restoration technique commonly used to control Phragmites. Similarly, as sea levels rose, and this area received greater tidal flow and Phragmites died back, thus restoring a more balanced plant community.	""1) State of the Coast: Projected Flooding. Trustees of Reservations. https://www.onthecoast.thetrustees.org/maps
2) Common Reed: An Invasive Wetland Plant. Commonwealth of Massachusetts. https://www.mass.gov/doc/phragmites-0/download 
3) Phragmites: Controlling the All-too-Common Reed. Mass Audubon. https://www.massaudubon.org/content/download/9330/155607/file/Salt-Marsh-Phragmites-Tiner-English.pdf""","1) State of the Coast: Projected Flooding. Trustees of Reservations. https://www.onthecoast.thetrustees.org/maps
2) Common Reed: An Invasive Wetland Plant. Commonwealth of Massachusetts. https://www.mass.gov/doc/phragmites-0/download 
3) Phragmites: Controlling the All-too-Common Reed. Mass Audubon. https://www.massaudubon.org/content/download/9330/155607/file/Salt-Marsh-Phragmites-Tiner-English.pdf",State of the Coast: Projected Flooding. Trustees of Reservations. https://www.onthecoast.thetrustees.org/maps,Common Reed: An Invasive Wetland Plant. Commonwealth of Massachusetts. https://www.mass.gov/doc/phragmites-0/download,Phragmites: Controlling the All-too-Common Reed. Mass Audubon. https://www.massaudubon.org/content/download/9330/155607/file/Salt-Marsh-Phragmites-Tiner-English.pdf
